"都道府県名","総数（人口）
【H29.1.1時点】","交付枚数
【H29.8.31時点】","人口に対する
交付枚数率"
"北海道",5370807,452568,8.4
"青森県",1323861,118932,9.0
"岩手県",1277271,114134,8.9
"宮城県",2319438,215678,9.3
"秋田県",1029196,78053,7.6
"山形県",1118468,75450,6.7
"福島県",1938559,166247,8.6
"茨城県",2960458,281234,9.5
"栃木県",1991597,169543,8.5
"群馬県",1998275,162621,8.1
"埼玉県",7343807,715462,9.7
"千葉県",6283602,690422,11.0
"東京都",13530053,1615886,11.9
"神奈川県",9155389,1109962,12.1
"新潟県",2300923,162704,7.1
"富山県",1074705,94277,8.8
"石川県",1153627,88104,7.6
"福井県",794433,50737,6.4
"山梨県",844717,67572,8.0
"長野県",2126064,167962,7.9
"岐阜県",2066266,152479,7.4
"静岡県",3756865,339761,9.0
"愛知県",7532231,665564,8.8
"三重県",1841753,138217,7.5
"滋賀県",1420260,126982,8.9
"京都府",2569410,243958,9.5
"大阪府",8861437,937757,10.6
"兵庫県",5606545,624295,11.1
"奈良県",1380181,155100,11.2
"和歌山県",984689,73911,7.5
"鳥取県",575264,46331,8.1
"島根県",696382,59733,8.6
"岡山県",1927632,157243,8.2
"広島県",2857475,281693,9.9
"山口県",1408588,136664,9.7
"徳島県",764213,59016,7.7
"香川県",997811,79901,8.0
"愛媛県",1405325,109773,7.8
"高知県",732535,44313,6.0
"福岡県",5126389,429335,8.4
"佐賀県",837977,63769,7.6
"長崎県",1392950,128046,9.2
"熊本県",1798149,158301,8.8
"大分県",1176891,100086,8.5
"宮崎県",1119544,139767,12.5
"鹿児島県",1668003,148721,8.9
"沖縄県",1467071,103328,7.0
