"都道府県名","総数（人口）
【H31.1.1時点】","交付枚数
【R2.6.1時点】","人口に対する
交付枚数率"
"北海道",5304413,759351,14.3
"青森県",1292709,192716,14.9
"岩手県",1250142,187666,15.0
"宮城県",2303098,372699,16.2
"秋田県",1000223,140872,14.1
"山形県",1095383,138528,12.6
"福島県",1901053,276135,14.5
"茨城県",2936184,480421,16.4
"栃木県",1976121,312909,15.8
"群馬県",1981202,270332,13.6
"埼玉県",7377288,1188007,16.1
"千葉県",6311190,1121288,17.8
"東京都",13740732,2960505,21.5
"神奈川県",9189521,1852090,20.2
"新潟県",2259309,276148,12.2
"富山県",1063293,151771,14.3
"石川県",1145948,152981,13.3
"福井県",786503,103389,13.1
"山梨県",832769,126037,15.1
"長野県",2101891,290245,13.8
"岐阜県",2044114,260320,12.7
"静岡県",3726537,578138,15.5
"愛知県",7565309,1101271,14.6
"三重県",1824637,260638,14.3
"滋賀県",1420080,240667,16.9
"京都府",2555068,427944,16.7
"大阪府",8848998,1619614,18.3
"兵庫県",5570618,1090612,19.6
"奈良県",1362781,266920,19.6
"和歌山県",964598,134190,13.9
"鳥取県",566052,82728,14.6
"島根県",686126,104744,15.3
"岡山県",1911722,263407,13.8
"広島県",2838632,442228,15.6
"山口県",1383079,229706,16.6
"徳島県",750519,102247,13.6
"香川県",987336,137017,13.9
"愛媛県",1381761,197060,14.3
"高知県",717480,75484,10.5
"福岡県",5131305,792834,15.5
"佐賀県",828781,126799,15.3
"長崎県",1365391,246753,18.1
"熊本県",1780079,312171,17.5
"大分県",1160218,187855,16.2
"宮崎県",1103755,256201,23.2
"鹿児島県",1643437,254851,15.5
"沖縄県",1476178,209180,14.2
