"公開日","年齢","人口(男)","人口(女)","人口(計)","交付件数(男)","交付件数(女)","交付件数(計)","交付率(男)","交付率(女)","交付率(計)","全体に対する交付件数割合(男)","全体に対する交付件数割合(女)","全体に対する交付件数割合(計)","人口算出基準日","交付件数基準日"
"2017/08/31","全体",62394249,65512765,127907014,6619715,5681877,12301592,10.6,8.7,9.6,100.0,100.0,100.0,"2017/01/01","2017/08/31"
"2017/08/31","0～4歳",2621231,2490499,5111730,51412,48568,99980,2.0,2.0,2.0,0.8,0.9,0.8,"2017/01/01","2017/08/31"
"2017/08/31","5～9",2785944,2646286,5432230,76282,73607,149889,2.7,2.8,2.8,1.2,1.3,1.2,"2017/01/01","2017/08/31"
"2017/08/31","10～14",2868662,2729563,5598225,71499,71641,143140,2.5,2.6,2.6,1.1,1.3,1.2,"2017/01/01","2017/08/31"
"2017/08/31","15～19",3090372,2942630,6033002,112542,109949,222491,3.6,3.7,3.7,1.7,1.9,1.8,"2017/01/01","2017/08/31"
"2017/08/31","20～24",3243592,3079965,6323557,205234,204275,409509,6.3,6.6,6.5,3.1,3.6,3.3,"2017/01/01","2017/08/31"
"2017/08/31","25～29",3399524,3223084,6622608,256999,226640,483639,7.6,7.0,7.3,3.9,4.0,3.9,"2017/01/01","2017/08/31"
"2017/08/31","30～34",3808238,3656088,7464326,305586,258663,564249,8.0,7.1,7.6,4.6,4.6,4.6,"2017/01/01","2017/08/31"
"2017/08/31","35～39",4199117,4044663,8243780,334352,261087,595439,8.0,6.5,7.2,5.1,4.6,4.8,"2017/01/01","2017/08/31"
"2017/08/31","40～44",4976555,4812300,9788855,390481,284285,674766,7.8,5.9,6.9,5.9,5.0,5.5,"2017/01/01","2017/08/31"
"2017/08/31","45～49",4807492,4693977,9501469,421023,311675,732698,8.8,6.6,7.7,6.4,5.5,6.0,"2017/01/01","2017/08/31"
"2017/08/31","50～54",3989860,3937541,7927401,440002,339635,779637,11.0,8.6,9.8,6.6,6.0,6.3,"2017/01/01","2017/08/31"
"2017/08/31","55～59",3763163,3774218,7537381,493270,408327,901597,13.1,10.8,12.0,7.5,7.2,7.3,"2017/01/01","2017/08/31"
"2017/08/31","60～64",3976493,4072974,8049467,612382,522665,1135047,15.4,12.8,14.1,9.3,9.2,9.2,"2017/01/01","2017/08/31"
"2017/08/31","65～69",4929868,5242975,10172843,853627,730282,1583909,17.3,13.9,15.6,12.9,12.9,12.9,"2017/01/01","2017/08/31"
"2017/08/31","70～74",3417616,3914181,7331797,697387,641407,1338794,20.4,16.4,18.3,10.5,11.3,10.9,"2017/01/01","2017/08/31"
"2017/08/31","75～79",2903418,3621089,6524507,604081,561860,1165941,20.8,15.5,17.9,9.1,9.9,9.5,"2017/01/01","2017/08/31"
"2017/08/31","80～84",2064886,3043941,5108827,418172,378427,796599,20.3,12.4,15.6,6.3,6.7,6.5,"2017/01/01","2017/08/31"
"2017/08/31","85～89",1095016,2114143,3209159,208377,184308,392685,19.0,8.7,12.2,3.1,3.2,3.2,"2017/01/01","2017/08/31"
"2017/08/31","90～94",376916,1087992,1464908,59172,54464,113636,15.7,5.0,7.8,0.9,1.0,0.9,"2017/01/01","2017/08/31"
"2017/08/31","95～99",68342,327978,396320,7316,9139,16455,10.7,2.8,4.2,0.1,0.2,0.1,"2017/01/01","2017/08/31"
"2017/08/31","100歳以上",7944,56678,64622,519,973,1492,6.5,1.7,2.3,0.0,0.0,0.0,"2017/01/01","2017/08/31"
